home.qq.com                   	183.57.48.23
office.qq.com                 	183.3.226.15
am.qq.com                     	0.0.0.1
k.qq.com                      	123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15
ss.qq.com                     	0.0.0.1
task.qq.com                   	140.207.119.115
seo.qq.com                    	0.0.0.1
static.qq.com                 	0.0.0.1
ta.qq.com                     	163.177.71.182
biz.qq.com                    	163.177.84.33
go.qq.com                     	123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27
om.qq.com                     	123.151.137.26
education.qq.com              	0.0.0.1
ifn.qq.com                    	0.0.0.1
1.qq.com                      	223.166.152.139
tourism.qq.com                	139.199.92.101
qing.qq.com                   	0.0.0.1
bt.qq.com                     	125.39.83.11
fly.qq.com                    	0.0.0.1
linux.qq.com                  	61.151.191.145
star.qq.com                   	111.161.64.48,111.161.64.40
404.qq.com                    	0.0.0.1
mga.qq.com                    	58.251.80.193
delta.qq.com                  	0.0.0.1
dl.qq.com                     	211.90.25.41
login.qq.com                  	0.0.0.1
mt.qq.com                     	0.0.0.1
so.qq.com                     	0.0.0.1
sports.qq.com                 	125.39.52.26
ktv.qq.com                    	0.0.0.1
bs.qq.com                     	111.206.15.66
venus.qq.com                  	0.0.0.1
art.qq.com                    	163.177.71.179
master.qq.com                 	0.0.0.1
cp.qq.com                     	123.151.137.18
bip.qq.com                    	119.147.128.119
love.qq.com                   	111.161.64.36
m.qq.com                      	123.151.176.32,123.151.71.101
qqhaoma.qq.com                	223.167.104.14
2011.qq.com                   	125.39.52.26
vi.qq.com                     	0.0.0.1
labs.qq.com                   	0.0.0.1
journal.qq.com                	140.207.62.101
5.qq.com                      	0.0.0.1
yuan.qq.com                   	0.0.0.1
abc.qq.com                    	123.126.122.50,111.206.25.157
memo.qq.com                   	163.177.90.103
hu.qq.com                     	123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17
test.qq.com                   	58.250.137.42
backup.qq.com                 	58.247.205.183
sm.qq.com                     	0.0.0.1
www1.qq.com                   	0.0.0.1
http.qq.com                   	111.161.64.48,111.161.64.40
pictures.qq.com               	58.251.80.193
athena.qq.com                 	111.230.119.95
moon.qq.com                   	0.0.0.1
17.qq.com                     	58.250.136.104
as.qq.com                     	106.117.248.169,106.117.248.167,103.18.209.117
flash.qq.com                  	111.161.64.48,111.161.64.40
ch.qq.com                     	0.0.0.1
dz.qq.com                     	123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17
cr.qq.com                     	123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13
link.qq.com                   	0.0.0.1
mq.qq.com                     	163.177.84.124
mx1.qq.com                    	157.255.173.201
fi.qq.com                     	58.247.205.183
l.qq.com                      	125.39.133.48
gg.qq.com                     	0.0.0.1
kh.qq.com                     	123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13
calendar.qq.com               	111.161.111.119,123.126.122.29
whois.qq.com                  	0.0.0.1
mh.qq.com                     	103.18.209.117,106.117.248.167,106.117.248.169
mr.qq.com                     	0.0.0.1
py.qq.com                     	163.177.90.125
lr.qq.com                     	111.206.15.66
hub.qq.com                    	0.0.0.1
re.qq.com                     	125.39.52.26
kp.qq.com                     	123.126.122.29,111.161.111.119
tp.qq.com                     	58.250.136.104
app1.qq.com                   	0.0.0.1
tf.qq.com                     	0.0.0.1
gold.qq.com                   	0.0.0.1
apollo.qq.com                 	0.0.0.1
kg.qq.com                     	220.194.87.63,111.206.15.84,27.221.81.54,123.125.9.87
vc.qq.com                     	0.0.0.1
mac.qq.com                    	123.151.137.22,123.151.137.21
b2b.qq.com                    	163.177.84.33
qa.qq.com                     	0.0.0.1
disk.qq.com                   	140.207.127.60
mall.qq.com                   	220.194.87.100
nz.qq.com                     	123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15
ns2.qq.com                    	203.205.177.41,123.151.66.78,121.51.160.100
imap.qq.com                   	163.177.72.198,58.251.139.219
weixin.qq.com                 	140.207.135.125,140.207.54.47,223.167.104.146
cloud.qq.com                  	119.29.42.201,119.29.47.192
webproxy.qq.com               	183.57.48.12,14.17.32.228
ticket.qq.com                 	0.0.0.1
hs.qq.com                     	123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13
wt.qq.com                     	123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16
css.qq.com                    	0.0.0.1
fc.qq.com                     	111.230.189.144
meet.qq.com                   	58.247.205.183
list.qq.com                   	0.0.0.1
sns.qq.com                    	0.0.0.1
mobi.qq.com                   	58.247.205.183
z.qq.com                      	220.194.87.100
dns1.qq.com                   	219.133.41.245
qq.qq.com                     	123.125.9.15,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.110.18,123.125.110.27,123.125.9.12
