pay.qq.com                    	111.161.111.145,125.39.240.85
www.qq.com                    	123.151.137.18
en.qq.com                     	125.39.133.126
games.qq.com                  	123.151.137.18
web.qq.com                    	123.151.190.156
my.qq.com                     	58.251.61.199
portal.qq.com                 	0.0.0.1
it.qq.com                     	123.151.137.18
vip.qq.com                    	183.61.51.29
doc.qq.com                    	111.161.64.31,111.161.64.30
platform.qq.com               	100.116.48.39
w8.qq.com                     	58.247.205.183
sk.qq.com                     	0.0.0.1
cms.qq.com                    	111.161.64.21
best.qq.com                   	125.39.133.27
angrybirds.qq.com             	0.0.0.1
llk.qq.com                    	140.206.160.157
area.qq.com                   	0.0.0.1
rdm.qq.com                    	111.161.111.119,123.126.122.29
imp.qq.com                    	125.39.240.83
config.qq.com                 	0.0.0.1
cnc.qq.com                    	0.0.0.1
kb.qq.com                     	111.161.64.40,111.161.64.48
108.qq.com                    	123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17
hera.qq.com                   	58.247.214.103
doctor.qq.com                 	123.126.122.29,111.161.111.119
analytics.qq.com              	0.0.0.1
lineage2.qq.com               	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
pass.qq.com                   	0.0.0.1
nn.qq.com                     	0.0.0.1
app.qq.com                    	14.17.32.229
st.qq.com                     	0.0.0.1
d3.qq.com                     	0.0.0.1
p.qq.com                      	183.3.226.94
in.qq.com                     	0.0.0.1
pt.qq.com                     	0.0.0.1
qy.qq.com                     	0.0.0.1
ru.qq.com                     	125.39.52.26
tt.qq.com                     	111.161.64.31,111.161.64.30
money.qq.com                  	125.39.52.26
2008.qq.com                   	111.161.64.48,111.161.64.40
pic.qq.com                    	111.161.64.30,111.161.64.31
yoyo.qq.com                   	220.194.87.100
nokia.qq.com                  	0.0.0.1
avon.qq.com                   	0.0.0.1
tuya.qq.com                   	0.0.0.1
social.qq.com                 	58.247.214.68
train.qq.com                  	0.0.0.1
0.qq.com                      	0.0.0.1
tour.qq.com                   	0.0.0.1
dragon.qq.com                 	0.0.0.1
name.qq.com                   	0.0.0.1
hm.qq.com                     	223.167.104.14
smc.qq.com                    	163.177.71.175
by.qq.com                     	42.81.85.253
ie.qq.com                     	111.161.111.119,123.126.122.29
cg.qq.com                     	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
iq.qq.com                     	0.0.0.1
auth.qq.com                   	0.0.0.1
gt.qq.com                     	125.39.133.34,111.161.111.144
ups.qq.com                    	0.0.0.1
voice.qq.com                  	220.194.87.100
fo.qq.com                     	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
secret.qq.com                 	0.0.0.1
hp.qq.com                     	220.194.87.100
shopping.qq.com               	220.194.87.100
pg.qq.com                     	123.125.110.27,123.125.110.18,123.125.110.16,123.125.110.17,123.125.9.11
studio.qq.com                 	0.0.0.1
g.qq.com                      	58.247.206.182
zebra.qq.com                  	123.151.148.111
mv.qq.com                     	220.194.87.63
ns.qq.com                     	0.0.0.1
log.qq.com                    	140.207.69.39
sb.qq.com                     	125.39.133.27
docs.qq.com                   	125.39.133.122
sz.qq.com                     	125.39.52.26
wa.qq.com                     	220.194.87.40,220.194.87.36,220.194.87.37,220.194.87.38,220.194.87.39,220.194.87.41,119.249.49.21
buy.qq.com                    	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
finance.qq.com                	125.39.52.26
wx.qq.com                     	140.207.135.104,223.166.152.108
ag.qq.com                     	111.161.111.119,123.126.122.29
smtp.qq.com                   	220.249.243.176,157.255.174.111
get.qq.com                    	125.39.133.126
marketing.qq.com              	0.0.0.1
lms.qq.com                    	0.0.0.1
gb.qq.com                     	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
tm.qq.com                     	0.0.0.1
zz.qq.com                     	0.0.0.1
lp.qq.com                     	111.206.15.66
transfer.qq.com               	123.126.122.29,111.161.111.119
wb.qq.com                     	59.36.121.160
mb.qq.com                     	123.151.176.32,123.151.71.101
sdc.qq.com                    	193.112.227.136
history.qq.com                	125.39.52.26
yy.qq.com                     	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
dh.qq.com                     	124.236.35.11,106.117.248.167,106.117.248.169,124.236.35.13,124.236.35.12,103.18.209.117
gz.qq.com                     	111.161.64.48,111.161.64.40
pm.qq.com                     	111.161.64.31,111.161.64.30
msg.qq.com                    	0.0.0.1
bk.qq.com                     	0.0.0.1
smart.qq.com                  	58.247.205.183
sas.qq.com                    	58.250.137.27
one.qq.com                    	0.0.0.1
pan.qq.com                    	0.0.0.1
rm.qq.com                     	0.0.0.1
400.qq.com                    	0.0.0.1
ccs.qq.com                    	123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18
ice.qq.com                    	0.0.0.1
quiz.qq.com                   	0.0.0.1
ah.qq.com                     	111.161.64.48,111.161.64.40
matrix.qq.com                 	58.247.205.183
q.qq.com                      	58.247.206.188
mcp.qq.com                    	0.0.0.1
jx.qq.com                     	111.161.64.40,111.161.64.48
t1.qq.com                     	0.0.0.1
cap.qq.com                    	125.39.133.121
qt.qq.com                     	58.247.205.41
wd.qq.com                     	111.161.64.31,111.161.64.30
yl.qq.com                     	123.125.110.16,123.125.110.18,123.125.110.27,123.125.9.11,123.125.110.17
next.qq.com                   	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
wk.qq.com                     	58.247.205.183
b2c.qq.com                    	183.3.225.113
soc.qq.com                    	111.206.15.66
sou.qq.com                    	125.39.133.30
inet.qq.com                   	0.0.0.1
big5.qq.com                   	0.0.0.1
moss.qq.com                   	58.250.136.22
iso.qq.com                    	123.151.66.17
metro.qq.com                  	58.247.205.183
explore.qq.com                	61.129.7.40
wind.qq.com                   	0.0.0.1
outlet.qq.com                 	220.194.87.100
future.qq.com                 	0.0.0.1
zf.qq.com                     	140.207.135.110
