passport.qq.com               	112.90.8.102
news.qq.com                   	123.151.137.18
uni.qq.com                    	58.250.9.22
mail.qq.com                   	14.18.245.237
h5.qq.com                     	101.227.160.34
h6.qq.com                     	0.0.0.1
astro.qq.com                  	125.39.52.26
member.qq.com                 	58.251.61.199
f5.qq.com                     	106.117.248.169,124.236.35.11,106.117.248.167,124.236.35.13,124.236.35.12,103.18.209.117
ff.qq.com                     	123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18
dd.qq.com                     	0.0.0.1
domain.qq.com                 	0.0.0.1
ar.qq.com                     	125.39.133.26
ads.qq.com                    	220.249.243.181
tr.qq.com                     	0.0.0.1
book.qq.com                   	140.207.62.101
ipod.qq.com                   	0.0.0.1
dns.qq.com                    	119.29.29.229
fj.qq.com                     	123.151.137.18
sps.qq.com                    	0.0.0.1
victor.qq.com                 	140.207.127.66
shop.qq.com                   	42.81.85.253
des.qq.com                    	134.175.75.114
download.qq.com               	125.39.247.177,125.39.247.166
le.qq.com                     	0.0.0.1
me.qq.com                     	125.39.133.126
2012.qq.com                   	123.151.137.18
adv.qq.com                    	0.0.0.1
6.qq.com                      	0.0.0.1
signup.qq.com                 	163.177.56.115
server.qq.com                 	0.0.0.1
sms.qq.com                    	183.3.225.67
gu.qq.com                     	58.251.81.29
ja.qq.com                     	0.0.0.1
community.qq.com              	0.0.0.1
ro.qq.com                     	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
uu.qq.com                     	0.0.0.1
img1.qq.com                   	124.236.35.11,124.236.35.12,106.117.248.169,106.117.248.167,124.236.35.13,103.18.209.117
rpc.qq.com                    	0.0.0.1
penguin.qq.com                	123.151.26.12
just.qq.com                   	175.155.120.111
pc.qq.com                     	123.126.122.29,111.161.111.119
excel.qq.com                  	0.0.0.1
tcc.qq.com                    	125.39.213.73
visa.qq.com                   	0.0.0.1
mgc.qq.com                    	123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27
f.qq.com                      	123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17
research.qq.com               	0.0.0.1
west.qq.com                   	0.0.0.1
gd.qq.com                     	125.39.52.26
aq.qq.com                     	163.177.71.203
file.qq.com                   	123.126.122.29,111.161.111.119
pics.qq.com                   	111.161.64.40,111.161.64.48
proxy.qq.com                  	111.161.64.48,111.161.64.40
fw.qq.com                     	111.206.25.159
storage.qq.com                	0.0.0.1
cz.qq.com                     	0.0.0.1
read.qq.com                   	101.226.103.89
y.qq.com                      	27.221.81.95,123.125.9.87,111.206.15.84
hk.qq.com                     	203.205.140.29,203.205.140.114
ke.qq.com                     	59.37.97.122
bug.qq.com                    	58.247.205.183
ph.qq.com                     	58.247.205.183
ng.qq.com                     	0.0.0.1
ms.qq.com                     	111.161.111.119,123.126.122.29
gh.qq.com                     	0.0.0.1
nj.qq.com                     	111.161.64.48,111.161.64.40
dc.qq.com                     	58.247.214.105
qmail.qq.com                  	14.18.245.237
sr.qq.com                     	0.0.0.1
pw.qq.com                     	0.0.0.1
golf.qq.com                   	125.39.52.26
tk.qq.com                     	0.0.0.1
lt.qq.com                     	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
ut.qq.com                     	0.0.0.1
se.qq.com                     	163.177.73.107
tw.qq.com                     	103.7.28.160
register.qq.com               	163.177.56.115
wan.qq.com                    	103.18.209.117,124.236.35.12,124.236.35.13,124.236.35.11,106.117.248.169,106.117.248.167
public.qq.com                 	0.0.0.1
ml.qq.com                     	0.0.0.1
pop.qq.com                    	59.37.97.57,219.133.60.187
rose.qq.com                   	0.0.0.1
ask.qq.com                    	0.0.0.1
connect.qq.com                	140.207.179.161
wp.qq.com                     	58.251.100.24
preview.qq.com                	0.0.0.1
travel.qq.com                 	0.0.0.1
sx.qq.com                     	0.0.0.1
iphone.qq.com                 	123.151.71.101,123.151.176.32
cq.qq.com                     	125.39.52.26
china.qq.com                  	125.39.52.26
hao.qq.com                    	111.206.25.157,123.126.122.50
vod.qq.com                    	0.0.0.1
report.qq.com                 	111.161.64.48,111.161.64.40
act.qq.com                    	111.230.207.246
dy.qq.com                     	111.161.64.40,111.161.64.48
sq.qq.com                     	0.0.0.1
ipv6.qq.com                   	0.0.0.1
learning.qq.com               	125.39.52.26
nanjing.qq.com                	125.39.52.26
mn.qq.com                     	123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17
join.qq.com                   	59.37.96.24
ebook.qq.com                  	101.226.103.89
trade.qq.com                  	0.0.0.1
xs.qq.com                     	0.0.0.1
bak.qq.com                    	58.247.205.183
mx3.qq.com                    	157.255.174.110
dw.qq.com                     	123.126.122.37
sos.qq.com                    	0.0.0.1
horizon.qq.com                	223.167.104.44,163.177.71.142
yc.qq.com                     	140.207.62.101
style.qq.com                  	220.194.87.100
plus.qq.com                   	111.161.111.119,123.126.122.29
form.qq.com                   	0.0.0.1
aa.qq.com                     	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
mx4.qq.com                    	0.0.0.1
insight.qq.com                	0.0.0.1
campus.qq.com                 	125.39.52.26
mini.qq.com                   	125.39.52.26
jh.qq.com                     	0.0.0.1
zj.qq.com                     	125.39.52.26
oc.qq.com                     	0.0.0.1
xl.qq.com                     	123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17
ios.qq.com                    	220.194.95.156
baike.qq.com                  	111.161.111.119,123.126.122.29
sss.qq.com                    	0.0.0.1
xian.qq.com                   	125.39.52.26
op.qq.com                     	0.0.0.1
wall.qq.com                   	0.0.0.1
xm.qq.com                     	125.39.52.26
spark.qq.com                  	0.0.0.1
coop.qq.com                   	125.39.133.40
oasis.qq.com                  	0.0.0.1
moa.qq.com                    	0.0.0.1
stars.qq.com                  	111.161.64.48,111.161.64.40
scan.qq.com                   	58.247.205.183
college.qq.com                	0.0.0.1
notebook.qq.com               	123.151.148.111
tcs.qq.com                    	223.167.154.100
ttt.qq.com                    	0.0.0.1
yj.qq.com                     	58.247.205.183
trust.qq.com                  	0.0.0.1
camera.qq.com                 	0.0.0.1
on.qq.com                     	0.0.0.1
pac.qq.com                    	14.17.43.248
yh.qq.com                     	0.0.0.1
if.qq.com                     	123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17
100.qq.com                    	0.0.0.1
mf.qq.com                     	123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18
nba.qq.com                    	125.39.247.177,125.39.247.166
yd.qq.com                     	140.207.189.105,140.207.54.87
trans.qq.com                  	106.117.248.169,124.236.35.12,124.236.35.13,124.236.35.11,103.18.209.117,106.117.248.167
pim.qq.com                    	111.161.64.30,111.161.64.31
os.qq.com                     	220.194.95.156
tea.qq.com                    	163.177.92.68
m4.qq.com                     	111.161.64.30,111.161.64.31
ym.qq.com                     	111.206.15.66
rap.qq.com                    	0.0.0.1
zl.qq.com                     	123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18
qm.qq.com                     	58.250.137.30
topic.qq.com                  	140.207.62.101
stone.qq.com                  	0.0.0.1
mil.qq.com                    	125.39.52.26
urban.qq.com                  	163.177.71.224
story.qq.com                  	58.247.214.46
ol.qq.com                     	0.0.0.1
qx.qq.com                     	0.0.0.1
zq.qq.com                     	0.0.0.1
1111.qq.com                   	0.0.0.1
21.qq.com                     	0.0.0.1
hsbc.qq.com                   	0.0.0.1
ts1.qq.com                    	59.36.120.122
developers.qq.com             	0.0.0.1
bm.qq.com                     	123.206.40.39
gy.qq.com                     	123.151.137.18
designer.qq.com               	180.163.25.47,59.37.96.247
japan.qq.com                  	0.0.0.1
mo.qq.com                     	0.0.0.1
rs.qq.com                     	0.0.0.1
xi.qq.com                     	0.0.0.1
keys.qq.com                   	183.3.225.102
qr.qq.com                     	0.0.0.1
tmp.qq.com                    	123.151.137.23
real.qq.com                   	0.0.0.1
soccer.qq.com                 	125.39.52.26
esc.qq.com                    	172.23.135.6
