en.qq.com                     	125.39.133.126
app.qq.com                    	14.17.32.229
games.qq.com                  	123.151.137.18
pay.qq.com                    	125.39.240.85,111.161.111.145
doc.qq.com                    	111.161.64.31,111.161.64.30
www.qq.com                    	123.151.137.18
web.qq.com                    	123.151.190.156
cms.qq.com                    	111.161.64.21
my.qq.com                     	58.251.61.199
p.qq.com                      	183.3.226.94
w8.qq.com                     	58.247.205.183
portal.qq.com                 	0.0.0.1
vip.qq.com                    	183.61.51.29
it.qq.com                     	123.151.137.18
net.qq.com                    	0.0.0.1
platform.qq.com               	100.116.48.39
d1.qq.com                     	0.0.0.1
sk.qq.com                     	0.0.0.1
registry.qq.com               	0.0.0.1
angrybirds.qq.com             	0.0.0.1
area.qq.com                   	0.0.0.1
doctor.qq.com                 	111.161.111.119,123.126.122.29
cnc.qq.com                    	0.0.0.1
config.qq.com                 	0.0.0.1
imp.qq.com                    	123.151.79.61
kb.qq.com                     	111.161.64.40,111.161.64.48
108.qq.com                    	123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27
hera.qq.com                   	58.247.214.103
analytics.qq.com              	0.0.0.1
lineage2.qq.com               	106.117.248.169,106.117.248.167,124.236.35.12,124.236.35.13,124.236.35.11,103.18.209.117
pass.qq.com                   	0.0.0.1
nn.qq.com                     	0.0.0.1
st.qq.com                     	0.0.0.1
d3.qq.com                     	0.0.0.1
llk.qq.com                    	101.226.129.142
in.qq.com                     	0.0.0.1
pt.qq.com                     	0.0.0.1
qy.qq.com                     	0.0.0.1
ru.qq.com                     	125.39.52.26
tt.qq.com                     	123.151.137.21,123.151.137.22
money.qq.com                  	125.39.52.26
2008.qq.com                   	123.151.148.111
pic.qq.com                    	111.161.64.30,111.161.64.31
yoyo.qq.com                   	42.81.85.253
nokia.qq.com                  	0.0.0.1
avon.qq.com                   	0.0.0.1
tuya.qq.com                   	0.0.0.1
sw.qq.com                     	0.0.0.1
testing.qq.com                	0.0.0.1
0.qq.com                      	0.0.0.1
tour.qq.com                   	0.0.0.1
bof.qq.com                    	163.177.73.23
dragon.qq.com                 	0.0.0.1
smc.qq.com                    	163.177.71.175
name.qq.com                   	0.0.0.1
hm.qq.com                     	223.167.104.14
cg.qq.com                     	123.125.110.16,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.27
ie.qq.com                     	123.126.122.29,111.161.111.119
by.qq.com                     	220.194.87.100
ups.qq.com                    	0.0.0.1
gt.qq.com                     	125.39.133.34,111.161.111.144
auth.qq.com                   	0.0.0.1
hp.qq.com                     	220.194.87.100
shopping.qq.com               	220.194.87.100
secret.qq.com                 	0.0.0.1
studio.qq.com                 	0.0.0.1
lk.qq.com                     	111.161.64.31,111.161.64.30
g.qq.com                      	58.247.206.182
mv.qq.com                     	27.221.81.95,123.125.9.87,111.206.15.84
pg.qq.com                     	106.117.248.169,124.236.35.12,106.117.248.167,124.236.35.13,124.236.35.11,103.18.209.117
zebra.qq.com                  	123.151.148.111
ns.qq.com                     	0.0.0.1
sz.qq.com                     	125.39.52.26
tm.qq.com                     	0.0.0.1
sb.qq.com                     	125.39.133.27
crm.qq.com                    	163.177.84.33
wa.qq.com                     	220.194.87.36,220.194.87.39,220.194.87.41,220.194.87.40,119.249.49.21,220.194.87.38,220.194.87.37
log.qq.com                    	140.207.69.39
yt.qq.com                     	0.0.0.1
map.qq.com                    	101.227.143.10,59.37.116.67,183.36.108.233,180.163.25.36
buy.qq.com                    	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
finance.qq.com                	125.39.52.26
smtp.qq.com                   	157.255.174.111,220.249.243.176
wx.qq.com                     	223.166.152.108,140.207.135.104
web2.qq.com                   	220.194.95.156
soft.qq.com                   	111.161.64.30,111.161.64.31
marketing.qq.com              	0.0.0.1
transfer.qq.com               	123.126.122.29,111.161.111.119
mkt.qq.com                    	58.247.205.183
q.qq.com                      	101.226.233.193
gz.qq.com                     	111.161.64.48,111.161.64.40
gb.qq.com                     	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
sync.qq.com                   	0.0.0.1
history.qq.com                	125.39.52.26
bi.qq.com                     	125.39.52.26
yy.qq.com                     	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
sdc.qq.com                    	193.112.227.136
one.qq.com                    	0.0.0.1
mb.qq.com                     	123.126.122.29,111.161.111.119
cam.qq.com                    	180.163.21.37
dh.qq.com                     	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
msg.qq.com                    	0.0.0.1
ace.qq.com                    	0.0.0.1
smart.qq.com                  	58.247.205.183
ice.qq.com                    	0.0.0.1
bio.qq.com                    	0.0.0.1
webservice.qq.com             	0.0.0.1
review.qq.com                 	0.0.0.1
ccs.qq.com                    	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
tl.qq.com                     	0.0.0.1
matrix.qq.com                 	58.247.205.183
jx.qq.com                     	111.161.64.40,111.161.64.48
bf.qq.com                     	0.0.0.1
gift.qq.com                   	0.0.0.1
fd.qq.com                     	0.0.0.1
diy.qq.com                    	123.151.148.111
wd.qq.com                     	111.161.64.31,111.161.64.30
t1.qq.com                     	0.0.0.1
cap.qq.com                    	125.39.133.121
wk.qq.com                     	61.151.168.204
sou.qq.com                    	125.39.133.30
yl.qq.com                     	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
qt.qq.com                     	58.247.205.41
lh.qq.com                     	183.3.235.213
111.qq.com                    	0.0.0.1
moss.qq.com                   	58.250.136.22
big5.qq.com                   	0.0.0.1
bx.qq.com                     	0.0.0.1
mz.qq.com                     	123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17
yz.qq.com                     	0.0.0.1
iso.qq.com                    	123.151.66.17
metro.qq.com                  	58.247.205.183
rh.qq.com                     	0.0.0.1
zf.qq.com                     	140.207.135.110
jade.qq.com                   	124.236.35.13,103.18.209.117,106.117.248.169,124.236.35.11,106.117.248.167,124.236.35.12
outlet.qq.com                 	220.194.87.100
cats.qq.com                   	0.0.0.1
holiday.qq.com                	111.161.64.48,111.161.64.40
spring.qq.com                 	0.0.0.1
pix.qq.com                    	101.226.76.186
nfs.qq.com                    	0.0.0.1
pack.qq.com                   	0.0.0.1
vv.qq.com                     	0.0.0.1
mcm.qq.com                    	0.0.0.1
ting.qq.com                   	111.202.102.38,111.202.102.39,111.202.100.60,111.202.100.56
pai.qq.com                    	0.0.0.1
jia.qq.com                    	183.66.97.161
hlj.qq.com                    	111.161.64.48,111.161.64.40
tec.qq.com                    	0.0.0.1
fanli.qq.com                  	219.133.60.197
speech.qq.com                 	0.0.0.1
first.qq.com                  	0.0.0.1
train.qq.com                  	0.0.0.1
qj.qq.com                     	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
voice.qq.com                  	220.194.87.100
fo.qq.com                     	124.236.35.13,124.236.35.12,106.117.248.169,106.117.248.167,124.236.35.11,103.18.209.117
iq.qq.com                     	0.0.0.1
sandbox.qq.com                	0.0.0.1
get.qq.com                    	123.151.79.25
pm.qq.com                     	123.151.137.22,123.151.137.21
lms.qq.com                    	0.0.0.1
zz.qq.com                     	0.0.0.1
lp.qq.com                     	111.206.15.66
wb.qq.com                     	157.255.245.113
pan.qq.com                    	0.0.0.1
ah.qq.com                     	123.151.148.111
next.qq.com                   	106.117.248.167,124.236.35.13,106.117.248.169,103.18.209.117,124.236.35.12,124.236.35.11
sas.qq.com                    	183.3.226.26
400.qq.com                    	0.0.0.1
quiz.qq.com                   	0.0.0.1
mcp.qq.com                    	0.0.0.1
soc.qq.com                    	1.199.93.252,124.236.35.79
b2c.qq.com                    	183.3.225.113
inet.qq.com                   	0.0.0.1
explore.qq.com                	61.129.7.40
wind.qq.com                   	0.0.0.1
future.qq.com                 	0.0.0.1
t7.qq.com                     	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
cai.qq.com                    	0.0.0.1
quan.qq.com                   	123.126.122.29,111.161.111.119
ddd.qq.com                    	0.0.0.1
opinion.qq.com                	0.0.0.1
zd.qq.com                     	123.151.176.32,123.151.71.101
