office.qq.com                 	183.3.226.15
ss.qq.com                     	0.0.0.1
k.qq.com                      	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
cp.qq.com                     	123.151.137.18
help.qq.com                   	14.17.41.220
am.qq.com                     	0.0.0.1
search.qq.com                 	0.0.0.1
ae.qq.com                     	0.0.0.1
seo.qq.com                    	0.0.0.1
task.qq.com                   	140.207.119.115
static.qq.com                 	0.0.0.1
love.qq.com                   	111.161.64.36
m.qq.com                      	123.151.176.32,123.151.71.101
education.qq.com              	0.0.0.1
ifn.qq.com                    	0.0.0.1
1.qq.com                      	223.166.152.139
tourism.qq.com                	139.199.92.101
qing.qq.com                   	0.0.0.1
linux.qq.com                  	61.151.191.145
bt.qq.com                     	125.39.83.11
fly.qq.com                    	0.0.0.1
star.qq.com                   	111.161.64.40,111.161.64.48
404.qq.com                    	0.0.0.1
mga.qq.com                    	58.251.80.193
dl.qq.com                     	211.90.25.41
delta.qq.com                  	0.0.0.1
mt.qq.com                     	0.0.0.1
login.qq.com                  	0.0.0.1
so.qq.com                     	0.0.0.1
sports.qq.com                 	123.151.137.18
ktv.qq.com                    	0.0.0.1
bs.qq.com                     	111.206.15.66
venus.qq.com                  	0.0.0.1
art.qq.com                    	163.177.71.179
master.qq.com                 	0.0.0.1
cs.qq.com                     	0.0.0.1
bip.qq.com                    	119.147.128.119
wm.qq.com                     	0.0.0.1
qqhaoma.qq.com                	223.167.104.14
2011.qq.com                   	125.39.52.26
vi.qq.com                     	0.0.0.1
journal.qq.com                	140.207.62.101
5.qq.com                      	0.0.0.1
yuan.qq.com                   	0.0.0.1
memo.qq.com                   	163.177.90.103
nissan.qq.com                 	0.0.0.1
test.qq.com                   	58.250.137.42
pictures.qq.com               	58.251.80.193
www1.qq.com                   	0.0.0.1
backup.qq.com                 	61.151.168.204
http.qq.com                   	111.161.64.48,111.161.64.40
athena.qq.com                 	111.230.119.95
17.qq.com                     	58.250.136.104
moon.qq.com                   	0.0.0.1
ch.qq.com                     	0.0.0.1
dz.qq.com                     	123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27
link.qq.com                   	0.0.0.1
cr.qq.com                     	123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27
vm.qq.com                     	123.151.92.120
ec.qq.com                     	125.39.83.100
fi.qq.com                     	61.151.168.204
gg.qq.com                     	0.0.0.1
