cp.qq.com                     	123.151.137.18
search.qq.com                 	0.0.0.1
seo.qq.com                    	0.0.0.1
static.qq.com                 	0.0.0.1
ae.qq.com                     	0.0.0.1
am.qq.com                     	0.0.0.1
task.qq.com                   	140.207.119.115
education.qq.com              	0.0.0.1
love.qq.com                   	111.161.64.36
k.qq.com                      	123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17
ta.qq.com                     	163.177.71.182
biz.qq.com                    	163.177.84.33
go.qq.com                     	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
1.qq.com                      	101.89.15.139
qing.qq.com                   	0.0.0.1
linux.qq.com                  	61.151.191.145
fly.qq.com                    	0.0.0.1
star.qq.com                   	111.161.64.48,111.161.64.40
404.qq.com                    	0.0.0.1
mga.qq.com                    	58.251.80.193
dl.qq.com                     	211.90.25.41
delta.qq.com                  	0.0.0.1
mt.qq.com                     	0.0.0.1
login.qq.com                  	0.0.0.1
so.qq.com                     	0.0.0.1
