passport.qq.com               	112.90.8.102
uni.qq.com                    	58.250.9.22
dd.qq.com                     	0.0.0.1
news.qq.com                   	123.151.137.18
mail.qq.com                   	14.18.245.237
astro.qq.com                  	125.39.52.26
h5.qq.com                     	101.227.160.34
shop.qq.com                   	42.81.85.191,42.81.85.253
ar.qq.com                     	125.39.133.26
tr.qq.com                     	0.0.0.1
domain.qq.com                 	0.0.0.1
open.qq.com                   	163.177.68.177
api.qq.com                    	220.194.95.156
h6.qq.com                     	0.0.0.1
ipod.qq.com                   	0.0.0.1
book.qq.com                   	140.207.62.101
tap.qq.com                    	0.0.0.1
fj.qq.com                     	125.39.52.26
sps.qq.com                    	0.0.0.1
victor.qq.com                 	140.207.127.66
cloudphone.qq.com             	0.0.0.1
download.qq.com               	125.39.247.166,125.39.247.177
des.qq.com                    	134.175.75.114
le.qq.com                     	0.0.0.1
me.qq.com                     	125.39.133.126
2012.qq.com                   	125.39.52.26
6.qq.com                      	0.0.0.1
adv.qq.com                    	0.0.0.1
signup.qq.com                 	163.177.56.115
poker.qq.com                  	123.125.9.12,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.14,123.125.110.18,123.125.110.16
ff.qq.com                     	123.125.9.14,123.125.110.16,123.125.110.18,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12
server.qq.com                 	0.0.0.1
member.qq.com                 	58.251.61.199
sms.qq.com                    	183.3.225.67
ford.qq.com                   	0.0.0.1
ads.qq.com                    	14.17.32.217
img1.qq.com                   	106.117.248.167,124.236.35.12,124.236.35.11,103.18.209.117,106.117.248.169
rpc.qq.com                    	0.0.0.1
ja.qq.com                     	0.0.0.1
pro.qq.com                    	0.0.0.1
pc.qq.com                     	123.126.122.29,111.161.111.119
community.qq.com              	0.0.0.1
uu.qq.com                     	0.0.0.1
focus.qq.com                  	0.0.0.1
penguin.qq.com                	125.39.83.115
just.qq.com                   	175.155.120.111
excel.qq.com                  	0.0.0.1
hsbc.qq.com                   	0.0.0.1
tcc.qq.com                    	125.39.213.73
visa.qq.com                   	0.0.0.1
research.qq.com               	0.0.0.1
f.qq.com                      	106.117.248.169,106.117.248.167,103.18.209.117
gd.qq.com                     	125.39.52.26
file.qq.com                   	111.161.111.119,123.126.122.29
proxy.qq.com                  	111.161.64.48,111.161.64.40
aq.qq.com                     	163.177.71.203
pics.qq.com                   	123.151.148.111
read.qq.com                   	140.207.62.101
fw.qq.com                     	111.206.25.159
dc.qq.com                     	58.247.214.105
gy.qq.com                     	125.39.52.26
storage.qq.com                	0.0.0.1
gh.qq.com                     	0.0.0.1
lt.qq.com                     	123.125.9.12,123.125.110.27,123.125.9.15,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17
designer.qq.com               	59.37.96.247,180.163.25.47
ke.qq.com                     	59.37.97.122
ng.qq.com                     	0.0.0.1
mo.qq.com                     	0.0.0.1
nj.qq.com                     	111.161.64.48,111.161.64.40
tk.qq.com                     	0.0.0.1
sr.qq.com                     	0.0.0.1
y.qq.com                      	27.221.81.54,111.206.15.84,220.194.87.63,123.125.9.87
pw.qq.com                     	0.0.0.1
golf.qq.com                   	123.151.137.18
apps.qq.com                   	125.39.133.126
rs.qq.com                     	0.0.0.1
register.qq.com               	163.177.56.115
xi.qq.com                     	0.0.0.1
ml.qq.com                     	0.0.0.1
rose.qq.com                   	0.0.0.1
pop.qq.com                    	163.177.72.198,58.251.139.219
mn.qq.com                     	123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27
connect.qq.com                	101.227.169.205
uc.qq.com                     	0.0.0.1
cq.qq.com                     	125.39.52.26
wp.qq.com                     	58.251.100.24
hao.qq.com                    	123.126.122.50,111.206.25.157
jw.qq.com                     	0.0.0.1
china.qq.com                  	123.151.137.18
travel.qq.com                 	0.0.0.1
preview.qq.com                	0.0.0.1
sx.qq.com                     	0.0.0.1
ask.qq.com                    	0.0.0.1
campus.qq.com                 	125.39.52.26
iphone.qq.com                 	123.151.176.32,123.151.71.101
dy.qq.com                     	111.161.64.48,111.161.64.40
vod.qq.com                    	0.0.0.1
aa.qq.com                     	123.125.9.15,123.125.110.17,123.125.9.13,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14
report.qq.com                 	111.161.64.48,111.161.64.40
sq.qq.com                     	0.0.0.1
bak.qq.com                    	58.247.205.183
jy.qq.com                     	58.247.205.183
ipv6.qq.com                   	0.0.0.1
nanjing.qq.com                	125.39.52.26
ys.qq.com                     	0.0.0.1
join.qq.com                   	59.37.96.24
xs.qq.com                     	0.0.0.1
zj.qq.com                     	123.151.137.18
ebook.qq.com                  	140.207.62.101
horizon.qq.com                	163.177.71.142,223.167.104.44
dw.qq.com                     	123.126.122.37
trade.qq.com                  	0.0.0.1
form.qq.com                   	0.0.0.1
sos.qq.com                    	0.0.0.1
qr.qq.com                     	0.0.0.1
insight.qq.com                	0.0.0.1
college.qq.com                	0.0.0.1
plus.qq.com                   	111.161.111.119,123.126.122.29
oc.qq.com                     	0.0.0.1
jh.qq.com                     	0.0.0.1
ios.qq.com                    	220.194.95.156
xl.qq.com                     	123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14
real.qq.com                   	0.0.0.1
baike.qq.com                  	123.126.122.29,111.161.111.119
op.qq.com                     	0.0.0.1
dsp.qq.com                    	0.0.0.1
teach.qq.com                  	0.0.0.1
xm.qq.com                     	125.39.52.26
os.qq.com                     	220.194.95.156
wall.qq.com                   	0.0.0.1
spark.qq.com                  	0.0.0.1
mini.qq.com                   	125.39.52.26
oasis.qq.com                  	0.0.0.1
coop.qq.com                   	125.39.133.40
mf.qq.com                     	123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27
yd.qq.com                     	140.207.54.87,140.207.189.105
notebook.qq.com               	111.161.64.40,111.161.64.48
ttt.qq.com                    	0.0.0.1
stars.qq.com                  	111.161.64.40,111.161.64.48
scan.qq.com                   	58.247.205.183
yj.qq.com                     	58.247.205.183
tcs.qq.com                    	223.167.154.100
100.qq.com                    	0.0.0.1
camera.qq.com                 	0.0.0.1
trust.qq.com                  	0.0.0.1
nba.qq.com                    	125.39.247.166,125.39.247.177
pac.qq.com                    	14.17.43.248
yh.qq.com                     	0.0.0.1
if.qq.com                     	123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12
tea.qq.com                    	163.177.92.68
trans.qq.com                  	123.125.9.14,123.125.110.18,123.125.110.16,123.125.9.12,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27
pim.qq.com                    	111.161.64.31,111.161.64.30
zl.qq.com                     	123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12
topic.qq.com                  	140.207.62.101
rap.qq.com                    	0.0.0.1
m4.qq.com                     	111.161.64.30,111.161.64.31
soccer.qq.com                 	125.39.52.26
qm.qq.com                     	58.250.137.30
ym.qq.com                     	111.206.15.66
esc.qq.com                    	172.23.135.6
stone.qq.com                  	0.0.0.1
urban.qq.com                  	163.177.71.224
story.qq.com                  	58.247.214.46
ol.qq.com                     	0.0.0.1
zq.qq.com                     	0.0.0.1
qx.qq.com                     	0.0.0.1
21.qq.com                     	0.0.0.1
ts1.qq.com                    	59.36.120.122
japan.qq.com                  	0.0.0.1
bug.qq.com                    	58.247.205.183
ms.qq.com                     	123.126.122.29,111.161.111.119
ph.qq.com                     	61.151.168.204
qmail.qq.com                  	14.18.245.237
legal.qq.com                  	0.0.0.1
se.qq.com                     	163.177.73.107
tw.qq.com                     	103.7.28.160
ut.qq.com                     	0.0.0.1
public.qq.com                 	0.0.0.1
mx3.qq.com                    	183.57.48.35
jd.qq.com                     	0.0.0.1
keys.qq.com                   	183.3.225.102
mx4.qq.com                    	0.0.0.1
style.qq.com                  	42.81.85.253,42.81.85.191
yc.qq.com                     	140.207.62.101
xian.qq.com                   	123.151.137.18
sss.qq.com                    	0.0.0.1
moa.qq.com                    	0.0.0.1
