en.qq.com                     	125.39.133.126
www.qq.com                    	123.151.137.18
app.qq.com                    	14.17.32.229
games.qq.com                  	123.151.137.18
my.qq.com                     	58.251.61.199
pay.qq.com                    	125.39.240.85,111.161.111.145
web.qq.com                    	123.151.190.156
portal.qq.com                 	0.0.0.1
doc.qq.com                    	111.161.64.31,111.161.64.30
best.qq.com                   	125.39.133.27
llk.qq.com                    	140.206.160.157
rdm.qq.com                    	111.161.111.119,123.126.122.29
doctor.qq.com                 	123.126.122.29,111.161.111.119
cnc.qq.com                    	0.0.0.1
config.qq.com                 	0.0.0.1
imp.qq.com                    	125.39.240.83
kb.qq.com                     	111.161.64.48,111.161.64.40
