club.qq.com                   	58.251.61.199
new.qq.com                    	125.39.52.26
union.qq.com                  	183.57.48.88
corp.qq.com                   	0.0.0.1
hh.qq.com                     	0.0.0.1
video.qq.com                  	111.161.64.23
fr.qq.com                     	123.151.79.25
u.qq.com                      	123.151.148.111
moto.qq.com                   	58.247.205.183
th.qq.com                     	111.161.111.119,123.126.122.29
support.qq.com                	163.177.71.142,223.167.104.44
cc.qq.com                     	123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18
science.qq.com                	111.161.64.48,111.161.64.40
data.qq.com                   	58.251.61.173
cdn.qq.com                    	0.0.0.1
king.qq.com                   	123.151.26.115
tu.qq.com                     	223.167.86.66
tv.qq.com                     	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
d.qq.com                      	115.159.101.226
qs.qq.com                     	0.0.0.1
c.qq.com                      	111.161.111.119,123.126.122.29
free.qq.com                   	0.0.0.1
dcf.qq.com                    	123.151.71.101,123.151.176.32
root.qq.com                   	111.161.64.30,111.161.64.31
az.qq.com                     	0.0.0.1
index.qq.com                  	0.0.0.1
monster.qq.com                	0.0.0.1
hc.qq.com                     	123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18
fun.qq.com                    	125.39.213.73
yuedu.qq.com                  	0.0.0.1
rpg.qq.com                    	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
emperor.qq.com                	192.1.0.0
sport.qq.com                  	111.161.64.48,111.161.64.40
photo.qq.com                  	220.194.95.153
